"zipcode","pct_female","total_pop","pct_white","pct_black","pct_latino","pct_foreig","pct_public","pct_never_","pct_povert","median_hh_","gini_index","pct_unempl","pct_bachel","pct_only_e","age_18_19","age_20_24","age_25_34","age_35_44","age_0_5","age_5_9","age_10_14","age_15_17","pct_pop_ch","pop_densit","pct_rentin","median_ren","age_45_54","age_55_64","age_65_74","age_75_84","age_85_plu","trump16pct","ducey18pct","yestaxpct","trump20pct","countyname","pct_emp_info","pct_emp_finance","pct_emp_profess","pct_emp_ed_health","pct_emp_agri","pct_emp_mining","pct_emp_construct","pct_emp_manufac","pct_emp_wholesale","pct_emp_retail","pct_emp_transpo","pct_emp_hospitality","pct_emp_other_serv","pct_emp_govt","case_count_mail","case_count_ed","log_case_count_mail","log_case_count_ed","cases_1k","tribal_zip","under18","age_18_65","over65","ln_pop","yestaxpct_z","emp_pct_chg","pay_pct_chg","emp_pct_loss","pay_pct_loss"
85043,52.4067,43773,72.7914,7.8153,74.8132,23.663,2.4663,42.8095,23.1399,51561.986656102,0.39068784367994,3.8171,7.3836,41.3942,3.0064,7.1117,15.5644,16.4097,9.7206,9.8874,11.2352,6.0174,23.9993,2315.6446,45.0897,1167.7992383297,8.2791,7.8953,2.995,1.437,0.3838,0.19831,0.2656,67.788,0.24465,"Maricopa",1.3284,8.1498,12.0871,14.8097,0.1376,0,10.9502,11.4289,2.938,12.4761,6.8753,8.8021,7.1206,2.8961,1976,2137,7.58933582317062,7.66762609158499,45.1419825006282,0,36.8606,58.2666,4.8158,10.6867724679321,1.49258567487132,-1.59755993515912,4.26274841140665,1.59755993515912,-4.26274841140665
85044,53.074,43055,71.778,8.1222,20.8896,12.9137,2.7403,31.9031,6.2548,75132.794110589,0.44193026092498,0.8844,27.4854,80.3977,2.0578,6.7309,17.6379,12.052,5.6184,6.1665,7.012,2.3969,11.5183,2987.7292,39.4985,1195.4107048155,12.8812,14.3096,7.0491,3.0867,2.9358,0.40229,0.48953,58.418,0.39003,"Maricopa",2.1971,11.623,15.7239,20.2881,0.2422,0.204,5.5501,9.3111,3.6973,9.2856,4.7894,8.2232,5.0869,3.778,857,974,6.75460409948796,6.88243747099785,19.9047729648124,0,21.1938,65.6694,13.0716,10.6702336471303,0.763113340025741,-9.17911895982922,2.12983823469119,9.17911895982922,-2.12983823469119
85045,53.2639,7108,80.5571,4.108,7.9066,10.4249,1.8689,33.5273,1.5211,141937.23010386,0.35376415946714,1.0853,36.8573,89.4713,1.9837,6.5279,6.9781,12.7181,3.067,5.7119,6.4997,7.6393,-3.6987,1964.6268,7.3541,1982.4404384498,20.8075,18.3877,5.9088,1.7023,1.7304,0.48642,0.56362,50.536,0.46155,"Maricopa",2.1877,13.9167,15.4191,21.0332,0.2372,0,2.2667,12.7043,2.7148,8.5925,7.8281,7.2483,2.0559,3.7955,119,149,4.78749174278205,5.01063529409626,16.7416994935284,0,22.9179,67.403,9.3415,8.86897618927454,0.149484637437387,-9.43396226415094,15.1004016064257,9.43396226415094,-15.1004016064257
85048,50.8409,35497,76.0121,7.4654,14.5195,9.1501,1.7656,31.464,3.1578,103351.38009565,0.44247848349284,2.2863,30.4878,85.6719,1.8649,4.9779,12.9194,11.7249,4.6539,7.3725,6.8372,5.5977,3.0033,1800.2707,33.6649,1338.220164181,16.1873,16.9958,7.533,2.5101,0.7578,0.43353,0.53006,54.659,0.43118,"Maricopa",2.9301,10.4101,16.1775,23.2964,0.1135,0.3198,3.838,10.2296,3.3067,10.1006,5.3908,7.8721,2.9817,3.0333,735,826,6.60123011872888,6.71780469502369,20.7059751528298,0,24.4613,64.6702,10.8009,10.4772034648503,0.470468035150123,-1.09599395313681,12.4396824573237,1.09599395313681,-12.4396824573237
85050,50.9034,31383,82.8793,2.6702,12.3092,15.7792,0.6235,24.7707,5.959,89737.829971976,0.47230551038515,3.9879,27.9483,87.8223,1.5359,3.6676,8.119,16.4803,6.9783,6.2295,8.2592,4.4833,4.3214,2150.9629,27.6894,1606.1180467063,17.9683,10.05,6.016,6.1913,3.9416,0.50287,0.58884,49.678,0.50127,"Maricopa",1.7946,17.0789,16.3393,22.6992,0.2061,0.0485,3.0132,5.1534,2.4918,10.0218,3.7771,9.9854,4.6684,2.7222,626,724,6.44094654063292,6.58617165485467,19.9471051206067,0,25.9503,57.8211,16.1489,10.3540216240119,0.0826877043213234,-11.3594384927965,5.89097184163923,11.3594384927965,-5.89097184163923
85051,49.5858,44063,78.3106,8.0952,47.7453,21.6236,3.4327,40.1696,27.0327,42295.233008172,0.42598565299459,3.3897,12.1259,55.2088,3.141,8.1497,15.7706,12.4685,8.0544,8.733,6.1072,3.082,3.0665,6975.7796,48.1842,856.07008954167,11.3202,11.1136,7.4189,3.116,1.4752,0.40145,0.46858,59.257,0.39811,"Maricopa",1.3599,7.7919,12.9445,16.9034,0.1561,0.0856,7.3638,6.9104,3.4502,13.1359,7.0162,12.4962,5.9333,4.4525,1835,1973,7.51534457118044,7.58781721999343,41.6449175044822,0,25.9766,61.9636,12.0101,10.693375707008,0.82843108697723,-2.60182536439177,17.9597331091424,2.60182536439177,-17.9597331091424
85053,49.2579,30791,80.3676,4.9008,25.1405,12.8577,3.127,37.8582,15.3997,52999.142296888,0.40983218922516,2.5942,15.4073,77.366,3.7868,6.8072,17.1641,14.7186,4.9982,5.4626,7.0118,2.53,10.0386,5910.9906,44.8207,956.85211816685,12.6823,12.7602,7.054,4.0239,0.9029,0.52502,0.58407,52.343,0.52597,"Maricopa",1.5469,11.89,11.1392,21.3722,0.2201,0.0583,9.2427,4.6343,2.466,12.4919,6.4466,10.6926,5.0032,2.7961,810,915,6.69826805411541,6.82001636467413,26.306388230327,0,20.0026,67.9192,11.9808,10.3349777184684,0.290163026878791,8.96435351191732,6.31552483824159,-8.96435351191732,-6.31552483824159
85054,46.6004,7648,92.3248,0.7061,6.7992,9.4796,0.5344,38.6652,2.837,95177.353976584,0.3676,NA,46.3649,88.5155,0.7322,8.8389,28.295,9.4927,4.0533,2.0659,0.863,1.8567,26.4341,849.9534,62.5872,1482.6674328649,14.762,9.545,14.5136,3.125,1.5821,0.50697,0.58519,48.844,0.49677,"Maricopa",2.9781,16.8887,15.3017,19.1223,0,0,3.9773,4.4671,4.4083,14.1066,5.0157,6.7006,4.7022,2.3315,187,219,5.23644196282995,5.39362754635236,24.4508368200837,0,8.8389,71.6658,19.2207,8.94219945473124,0.0177592168868285,-2.93941511128855,1.64086917696086,2.93941511128855,-1.64086917696086
85083,49.1357,20075,80.1395,1.9676,9.4047,13.8481,0.9471,19.562,1.7952,109174.85440043,0.32255356323186,1.3129,35.7817,80.944,1.6588,2.1071,5.1308,18.8443,5.1656,6.7497,11.0087,7.2877,4.5845,2039.2035,8.4112,1874,18.5255,10.9191,8.4085,2.5704,1.4795,0.5886,0.65486,45.702,0.58858,"Maricopa",3.5166,15.5416,11.0651,24.0198,0,0.0606,6.0327,6.447,4.1532,10.6912,3.658,5.7902,3.5671,5.4568,425,502,6.05443934626937,6.22059017009974,21.1706102117061,0,30.2117,57.1856,12.4584,9.90723053881496,-0.226851463591808,5.18763796909492,40.0396690763891,-5.18763796909492,-40.0396690763891
85085,48.6112,24194,77.172,4.7202,8.8162,15.074,1.3625,30.5471,5.6998,87906.391099153,0.41633733462985,2.0326,38.0103,80.9728,1.4838,5.9891,17.0786,16.7893,6.2577,7.2663,7.5887,3.4389,23.8876,944.5608,37.5267,1242.2157163445,14.7309,10.5191,6.5925,1.6533,0.5001,0.58267,0.6394,47.683,0.57231,"Maricopa",2.4415,15.9456,13.7108,22.9521,0.0875,0.3102,5.3603,5.3364,2.5131,9.4401,4.4457,8.955,3.5152,4.9865,518,582,6.25190388316589,6.36818718635049,21.4102670083492,0,24.5516,66.5908,8.7459,10.0938599475198,-0.072626842959033,11.7068042813456,22.0645858411609,-11.7068042813456,-22.0645858411609
